,filename,Age,Gender,Race
0,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_0_0_20170112213500903.jpg.chip.jpg,100,0,0
1,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_0_0_20170112215240346.jpg.chip.jpg,100,0,0
2,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_1_0_20170110183726390.jpg.chip.jpg,100,1,0
3,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_1_0_20170112213001988.jpg.chip.jpg,100,1,0
4,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_1_0_20170112213303693.jpg.chip.jpg,100,1,0
5,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_1_0_20170112215032192.jpg.chip.jpg,100,1,0
6,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_1_0_20170117195420803.jpg.chip.jpg,100,1,0
7,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_1_0_20170119212053665.jpg.chip.jpg,100,1,0
8,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_1_2_20170105174847679.jpg.chip.jpg,100,1,2
9,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_1_2_20170112213615815.jpg.chip.jpg,100,1,2
10,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\100_1_2_20170112222336458.jpg.chip.jpg,100,1,2
11,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\101_0_0_20170112213500903.jpg.chip.jpg,101,0,0
12,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\101_1_2_20170105174739309.jpg.chip.jpg,101,1,2
13,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\103_0_2_20170112213001988.jpg.chip.jpg,103,0,2
14,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\105_0_0_20170112213001988.jpg.chip.jpg,105,0,0
15,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\105_1_0_20170112213001988.jpg.chip.jpg,105,1,0
16,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\105_1_0_20170112213021902.jpg.chip.jpg,105,1,0
17,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\105_1_0_20170112213507183.jpg.chip.jpg,105,1,0
18,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\105_1_1_20170112213303693.jpg.chip.jpg,105,1,1
19,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20161220222308131.jpg.chip.jpg,10,0,0
20,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170103200329407.jpg.chip.jpg,10,0,0
21,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170103200522151.jpg.chip.jpg,10,0,0
22,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170103233459275.jpg.chip.jpg,10,0,0
23,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170104013211746.jpg.chip.jpg,10,0,0
24,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110215927291.jpg.chip.jpg,10,0,0
25,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110220033115.jpg.chip.jpg,10,0,0
26,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110220111082.jpg.chip.jpg,10,0,0
27,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110220235233.jpg.chip.jpg,10,0,0
28,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110220251986.jpg.chip.jpg,10,0,0
29,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110220255346.jpg.chip.jpg,10,0,0
30,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110220316298.jpg.chip.jpg,10,0,0
31,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110220403810.jpg.chip.jpg,10,0,0
32,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110220447314.jpg.chip.jpg,10,0,0
33,C:\Users\Allen\Desktop\Python_Code\CSC 466\RawData\utkcropped\10_0_0_20170110220503946.jpg.chip.jpg,10,0,0
